F,FoS,Sy,d
430,2,415,2
430,2,360,2
430,2,215,2.5
430,2,290,2
430,2,275,2
430,3,415,2
430,3,360,2.5
430,3,215,3
430,3,290,2.5
430,3,275,2.5
440,1,415,1.5
440,1,360,1.5
440,1,215,2
440,1,290,1.5
440,1,275,1.5
440,2,415,2
440,2,360,2
440,2,215,2.5
440,2,290,2
440,2,275,2.5
440,3,415,2.5
440,3,360,2.5
440,3,215,3
440,3,290,2.5
440,3,275,2.5
450,1,415,1.5
450,1,360,1.5
450,1,215,2
450,1,290,1.5
450,1,275,1.5
450,2,415,2
450,2,360,2
450,2,215,2.5
450,2,290,2
450,2,275,2.5
450,3,415,2.5
450,3,360,2.5
450,3,215,3
450,3,290,2.5
450,3,275,3
460,1,415,1.5
460,1,360,1.5
460,1,215,2
460,1,290,1.5
460,1,275,1.5
460,2,415,2
460,2,360,2
460,2,215,2.5
460,2,290,2.5
460,2,275,2.5
460,3,415,2.5
460,3,360,2.5
460,3,215,3
460,3,290,2.5
460,3,275,3
470,1,415,1.5
470,1,360,1.5
470,1,215,2
470,1,290,1.5
470,1,275,1.5
470,2,415,2
470,2,360,2
470,2,215,2.5
470,2,290,2.5
470,2,275,2.5
470,3,415,2.5
470,3,360,2.5
470,3,215,3
470,3,290,2.5
470,3,275,3
480,1,415,1.5
480,1,360,1.5
480,1,215,2
480,1,290,1.5
480,1,275,1.5
480,2,415,2
480,2,360,2
480,2,215,2.5
480,2,290,2.5
480,2,275,2.5
480,3,415,2.5
480,3,360,2.5
480,3,215,3
480,3,290,3
480,3,275,3
490,1,415,1.5
490,1,360,1.5
490,1,215,2
490,1,290,1.5
490,1,275,2
490,2,415,2
490,2,360,2
490,2,215,2.5
490,2,290,2.5
490,2,275,2.5
490,3,415,2.5
490,3,360,2.5
490,3,215,3
490,3,290,3
490,3,275,3
500,1,415,1.5
500,1,360,1.5
500,1,215,2
500,1,290,1.5
500,1,275,2
500,2,415,2
500,2,360,2
500,2,215,2.5
500,2,290,2.5
500,2,275,2.5
500,3,415,2.5
500,3,360,2.5
500,3,215,3
500,3,290,3
500,3,275,3
510,1,415,1.5
510,1,360,1.5
510,1,215,2
510,1,290,1.5
510,1,275,2
510,2,415,2
510,2,360,2
510,2,215,2.5
510,2,290,2.5
510,2,275,2.5
510,3,415,2.5
510,3,360,2.5
510,3,215,4
510,3,290,3
510,3,275,3
520,1,415,1.5
520,1,360,1.5
520,1,215,2
520,1,290,2
520,1,275,2
520,2,415,2
520,2,360,2
520,2,215,2.5
520,2,290,2.5
520,2,275,2.5
520,3,415,2.5
520,3,360,2.5
520,3,215,4
520,3,290,3
520,3,275,3
530,1,415,1.5
530,1,360,1.5
530,1,215,2
530,1,290,2
530,1,275,2
530,2,415,2
530,2,360,2
530,2,215,3
530,2,290,2.5
530,2,275,2.5
530,3,415,2.5
530,3,360,2.5
530,3,215,4
530,3,290,3
530,3,275,3
540,1,415,1.5
540,1,360,1.5
540,1,215,2
540,1,290,2
540,1,275,2
540,2,415,2
540,2,360,2
540,2,215,3
540,2,290,2.5
540,2,275,2.5
540,3,415,2.5
540,3,360,2.5
540,3,215,4
540,3,290,3
540,3,275,3
550,1,415,1.5
550,1,360,1.5
550,1,215,2
550,1,290,2
550,1,275,2
550,2,415,2
550,2,360,2
550,2,215,3
550,2,290,2.5
550,2,275,2.5
550,3,415,2.5
550,3,360,2.5
550,3,215,4
550,3,290,3
550,3,275,3
560,1,415,1.5
560,1,360,1.5
560,1,215,2
560,1,290,2
560,1,275,2
560,2,415,2
560,2,360,2
560,2,215,3
560,2,290,2.5
560,2,275,2.5
560,3,415,2.5
560,3,360,2.5
560,3,215,4
560,3,290,3
560,3,275,3
570,1,415,1.5
570,1,360,1.5
570,1,215,2
570,1,290,2
570,1,275,2
570,2,415,2
570,2,360,2.5
570,2,215,3
570,2,290,2.5
570,2,275,2.5
570,3,415,2.5
570,3,360,2.5
570,3,215,4
570,3,290,3
570,3,275,3
580,1,415,1.5
580,1,360,1.5
580,1,215,2
580,1,290,2
580,1,275,2
580,2,415,2
580,2,360,2.5
580,2,215,3
580,2,290,2.5
580,2,275,2.5
580,3,415,2.5
580,3,360,2.5
580,3,215,4
580,3,290,3
580,3,275,3
590,1,415,1.5
590,1,360,1.5
590,1,215,2
590,1,290,2
590,1,275,2
590,2,415,2
590,2,360,2.5
590,2,215,3
590,2,290,2.5
590,2,275,2.5
590,3,415,2.5
590,3,360,3
590,3,215,4
590,3,290,3
590,3,275,3
600,1,415,1.5
600,1,360,1.5
600,1,215,2
600,1,290,2
600,1,275,2
600,2,415,2
600,2,360,2.5
600,2,215,3
600,2,290,2.5
600,2,275,2.5
600,3,415,2.5
600,3,360,3
600,3,215,4
600,3,290,3
600,3,275,3
610,1,415,1.5
610,1,360,1.5
610,1,215,2
610,1,290,2
610,1,275,2
610,2,415,2
610,2,360,2.5
610,2,215,3
610,2,290,2.5
610,2,275,2.5
610,3,415,2.5
610,3,360,3
610,3,215,4
610,3,290,3
610,3,275,3
620,1,415,1.5
620,1,360,1.5
620,1,215,2
620,1,290,2
620,1,275,2
620,2,415,2
620,2,360,2.5
620,2,215,3
620,2,290,2.5
620,2,275,2.5
620,3,415,2.5
620,3,360,3
620,3,215,4
620,3,290,3
620,3,275,3
630,1,415,1.5
630,1,360,1.5
630,1,215,2
630,1,290,2
630,1,275,2
630,2,415,2
630,2,360,2.5
630,2,215,3
630,2,290,2.5
630,2,275,2.5
630,3,415,2.5
630,3,360,3
630,3,215,4
630,3,290,3
630,3,275,3
640,1,415,1.5
640,1,360,2
640,1,215,2
640,1,290,2
640,1,275,2
640,2,415,2
640,2,360,2.5
640,2,215,3
640,2,290,2.5
640,2,275,2.5
640,3,415,2.5
640,3,360,3
640,3,215,4
640,3,290,3
640,3,275,3
650,1,415,1.5
650,1,360,2
650,1,215,2
650,1,290,2
650,1,275,2
650,2,415,2
650,2,360,2.5
650,2,215,3
650,2,290,2.5
650,2,275,2.5
650,3,415,2.5
650,3,360,3
650,3,215,4
650,3,290,3
650,3,275,4
660,1,415,1.5
660,1,360,2
660,1,215,2
660,1,290,2
660,1,275,2
660,2,415,2.5
660,2,360,2.5
660,2,215,3
660,2,290,2.5
660,2,275,2.5
660,3,415,2.5
660,3,360,3
660,3,215,4
660,3,290,3
660,3,275,4
670,1,415,1.5
670,1,360,2
670,1,215,2
670,1,290,2
670,1,275,2
670,2,415,2.5
670,2,360,2.5
670,2,215,3
670,2,290,2.5
670,2,275,2.5
670,3,415,2.5
670,3,360,3
670,3,215,4
670,3,290,3
670,3,275,4
680,1,415,1.5
680,1,360,2
680,1,215,2.5
680,1,290,2
680,1,275,2
680,2,415,2.5
680,2,360,2.5
680,2,215,3
680,2,290,2.5
680,2,275,3
680,3,415,3
680,3,360,3
680,3,215,4
680,3,290,3
680,3,275,4
690,1,415,1.5
690,1,360,2
690,1,215,2.5
690,1,290,2
690,1,275,2
690,2,415,2.5
690,2,360,2.5
690,2,215,3
690,2,290,2.5
690,2,275,3
690,3,415,3
690,3,360,3
690,3,215,4
690,3,290,4
690,3,275,4
700,1,415,1.5
700,1,360,2
700,1,215,2.5
700,1,290,2
700,1,275,2
700,2,415,2.5
700,2,360,2.5
700,2,215,3
700,2,290,2.5
700,2,275,3
700,3,415,3
700,3,360,3
700,3,215,4
700,3,290,4
700,3,275,4
710,1,415,1.5
710,1,360,2
710,1,215,2.5
710,1,290,2
710,1,275,2
710,2,415,2.5
710,2,360,2.5
710,2,215,3
710,2,290,2.5
710,2,275,3
710,3,415,3
710,3,360,3
710,3,215,4
710,3,290,4
710,3,275,4
720,1,415,1.5
720,1,360,2
720,1,215,2.5
720,1,290,2
720,1,275,2
720,2,415,2.5
720,2,360,2.5
720,2,215,3
720,2,290,3
720,2,275,3
720,3,415,3
720,3,360,3
720,3,215,4
720,3,290,4
720,3,275,4
730,1,415,1.5
730,1,360,2
730,1,215,2.5
730,1,290,2
730,1,275,2
730,2,415,2.5
730,2,360,2.5
730,2,215,3
730,2,290,3
730,2,275,3
730,3,415,3
730,3,360,3
730,3,215,4
730,3,290,4
730,3,275,4
740,1,415,2
740,1,360,2
740,1,215,2.5
740,1,290,2
740,1,275,2
740,2,415,2.5
740,2,360,2.5
740,2,215,3
740,2,290,3
740,2,275,3
740,3,415,3
740,3,360,3
740,3,215,4
740,3,290,4
740,3,275,4
750,1,415,2
750,1,360,2
750,1,215,2.5
750,1,290,2
750,1,275,2
750,2,415,2.5
750,2,360,2.5
750,2,215,3
750,2,290,3
750,2,275,3
750,3,415,3
750,3,360,3
750,3,215,4
750,3,290,4
750,3,275,4
760,1,415,2
760,1,360,2
760,1,215,2.5
760,1,290,2
760,1,275,2
760,2,415,2.5
760,2,360,2.5
760,2,215,4
760,2,290,3
760,2,275,3
760,3,415,3
760,3,360,3
760,3,215,4
760,3,290,4
760,3,275,4
770,1,415,2
770,1,360,2
770,1,215,2.5
770,1,290,2
770,1,275,2
770,2,415,2.5
770,2,360,2.5
770,2,215,4
770,2,290,3
770,2,275,3
770,3,415,3
770,3,360,3
770,3,215,4
770,3,290,4
770,3,275,4
780,1,415,2
780,1,360,2
780,1,215,2.5
780,1,290,2
780,1,275,2
780,2,415,2.5
780,2,360,2.5
780,2,215,4
780,2,290,3
780,2,275,3
780,3,415,3
780,3,360,3
780,3,215,4
780,3,290,4
780,3,275,4
790,1,415,2
790,1,360,2
790,1,215,2.5
790,1,290,2
790,1,275,2
790,2,415,2.5
790,2,360,2.5
790,2,215,4
790,2,290,3
790,2,275,3
790,3,415,3
790,3,360,3
790,3,215,4
790,3,290,4
790,3,275,4
800,1,415,2
800,1,360,2
800,1,215,2.5
800,1,290,2
800,1,275,2
800,2,415,2.5
800,2,360,2.5
800,2,215,4
800,2,290,3
800,2,275,3
800,3,415,3
800,3,360,3
800,3,215,4
800,3,290,4
800,3,275,4
810,1,415,2
810,1,360,2
810,1,215,2.5
810,1,290,2
810,1,275,2
810,2,415,2.5
810,2,360,2.5
810,2,215,4
810,2,290,3
810,2,275,3
810,3,415,3
810,3,360,3
810,3,215,4
810,3,290,4
810,3,275,4
820,1,415,2
820,1,360,2
820,1,215,2.5
820,1,290,2
820,1,275,2
820,2,415,2.5
820,2,360,2.5
820,2,215,4
820,2,290,3
820,2,275,3
820,3,415,3
820,3,360,3
820,3,215,4
820,3,290,4
820,3,275,4
830,1,415,2
830,1,360,2
830,1,215,2.5
830,1,290,2
830,1,275,2
830,2,415,2.5
830,2,360,2.5
830,2,215,4
830,2,290,3
830,2,275,3
830,3,415,3
830,3,360,3
830,3,215,4
830,3,290,4
830,3,275,4
840,1,415,2
840,1,360,2
840,1,215,2.5
840,1,290,2
840,1,275,2
840,2,415,2.5
840,2,360,2.5
840,2,215,4
840,2,290,3
840,2,275,3
840,3,415,3
840,3,360,3
840,3,215,4
840,3,290,4
840,3,275,4
850,1,415,2
850,1,360,2
850,1,215,2.5
850,1,290,2
850,1,275,2
850,2,415,2.5
850,2,360,2.5
850,2,215,4
850,2,290,3
850,2,275,3
850,3,415,3
850,3,360,4
850,3,215,4
850,3,290,4
850,3,275,4
860,1,415,2
860,1,360,2
860,1,215,2.5
860,1,290,2
860,1,275,2
860,2,415,2.5
860,2,360,2.5
860,2,215,4
860,2,290,3
860,2,275,3
860,3,415,3
860,3,360,4
860,3,215,4
860,3,290,4
860,3,275,4
870,1,415,2
870,1,360,2
870,1,215,2.5
870,1,290,2
870,1,275,2.5
870,2,415,2.5
870,2,360,2.5
870,2,215,4
870,2,290,3
870,2,275,3
870,3,415,3
870,3,360,4
870,3,215,4
870,3,290,4
870,3,275,4
880,1,415,2
880,1,360,2
880,1,215,2.5
880,1,290,2
880,1,275,2.5
880,2,415,2.5
880,2,360,2.5
880,2,215,4
880,2,290,3
880,2,275,3
880,3,415,3
880,3,360,4
880,3,215,4
880,3,290,4
880,3,275,4
890,1,415,2
890,1,360,2
890,1,215,2.5
890,1,290,2
890,1,275,2.5
890,2,415,2.5
890,2,360,3
890,2,215,4
890,2,290,3
890,2,275,3
890,3,415,3
890,3,360,4
890,3,215,4
890,3,290,4
890,3,275,4
900,1,415,2
900,1,360,2
900,1,215,2.5
900,1,290,2
900,1,275,2.5
900,2,415,2.5
900,2,360,3
900,2,215,4
900,2,290,3
900,2,275,3
900,3,415,3
900,3,360,4
900,3,215,4
900,3,290,4
900,3,275,4
910,1,415,2
910,1,360,2
910,1,215,2.5
910,1,290,2
910,1,275,2.5
910,2,415,2.5
910,2,360,3
910,2,215,4
910,2,290,3
910,2,275,3
910,3,415,3
910,3,360,4
910,3,215,5
910,3,290,4
910,3,275,4
920,1,415,2
920,1,360,2
920,1,215,2.5
920,1,290,2.5
920,1,275,2.5
920,2,415,2.5
920,2,360,3
920,2,215,4
920,2,290,3
920,2,275,3
920,3,415,3
920,3,360,4
920,3,215,5
920,3,290,4
920,3,275,4
930,1,415,2
930,1,360,2
930,1,215,2.5
930,1,290,2.5
930,1,275,2.5
930,2,415,2.5
930,2,360,3
930,2,215,4
930,2,290,3
930,2,275,3
930,3,415,3
930,3,360,4
930,3,215,5
930,3,290,4
930,3,275,4
940,1,415,2
940,1,360,2
940,1,215,2.5
940,1,290,2.5
940,1,275,2.5
940,2,415,2.5
940,2,360,3
940,2,215,4
940,2,290,3
940,2,275,3
940,3,415,3
940,3,360,4
940,3,215,5
940,3,290,4
940,3,275,4
950,1,415,2
950,1,360,2
950,1,215,2.5
950,1,290,2.5
950,1,275,2.5
950,2,415,2.5
950,2,360,3
950,2,215,4
950,2,290,3
950,2,275,3
950,3,415,3
950,3,360,4
950,3,215,5
950,3,290,4
950,3,275,4
960,1,415,2
960,1,360,2
960,1,215,2.5
960,1,290,2.5
960,1,275,2.5
960,2,415,2.5
960,2,360,3
960,2,215,4
960,2,290,3
960,2,275,3
960,3,415,3
960,3,360,4
960,3,215,5
960,3,290,4
960,3,275,4
970,1,415,2
970,1,360,2
970,1,215,2.5
970,1,290,2.5
970,1,275,2.5
970,2,415,2.5
970,2,360,3
970,2,215,4
970,2,290,3
970,2,275,3
970,3,415,3
970,3,360,4
970,3,215,5
970,3,290,4
970,3,275,4
980,1,415,2
980,1,360,2
980,1,215,2.5
980,1,290,2.5
980,1,275,2.5
980,2,415,2.5
980,2,360,3
980,2,215,4
980,2,290,3
980,2,275,4
980,3,415,4
980,3,360,4
980,3,215,5
980,3,290,4
980,3,275,4
990,1,415,2
990,1,360,2
990,1,215,2.5
990,1,290,2.5
990,1,275,2.5
990,2,415,2.5
990,2,360,3
990,2,215,4
990,2,290,3
990,2,275,4
990,3,415,4
990,3,360,4
990,3,215,5
990,3,290,4
990,3,275,4
1000,1,415,2
1000,1,360,2
1000,1,215,2.5
1000,1,290,2.5
1000,1,275,2.5
1000,2,415,2.5
1000,2,360,3
1000,2,215,4
1000,2,290,3
1000,2,275,4
1000,3,415,4
1000,3,360,4
1000,3,215,5
1000,3,290,4
1000,3,275,4
1010,1,415,2
1010,1,360,2
1010,1,215,2.5
1010,1,290,2.5
1010,1,275,2.5
1010,2,415,2.5
1010,2,360,3
1010,2,215,4
1010,2,290,3
1010,2,275,4
1010,3,415,4
1010,3,360,4
1010,3,215,5
1010,3,290,4
1010,3,275,4
1020,1,415,2
1020,1,360,2
1020,1,215,2.5
1020,1,290,2.5
1020,1,275,2.5
1020,2,415,3
1020,2,360,3
1020,2,215,4
1020,2,290,3
1020,2,275,4
1020,3,415,4
1020,3,360,4
1020,3,215,5
1020,3,290,4
1020,3,275,4
1030,1,415,2
1030,1,360,2
1030,1,215,2.5
1030,1,290,2.5
1030,1,275,2.5
1030,2,415,3
1030,2,360,3
1030,2,215,4
1030,2,290,4
1030,2,275,4
1030,3,415,4
1030,3,360,4
1030,3,215,5
1030,3,290,4
1030,3,275,4
1040,1,415,2
1040,1,360,2
1040,1,215,2.5
1040,1,290,2.5
1040,1,275,2.5
1040,2,415,3
1040,2,360,3
1040,2,215,4
1040,2,290,4
1040,2,275,4
1040,3,415,4
1040,3,360,4
1040,3,215,5
1040,3,290,4
1040,3,275,4
1050,1,415,2
1050,1,360,2
1050,1,215,2.5
1050,1,290,2.5
1050,1,275,2.5
1050,2,415,3
1050,2,360,3
1050,2,215,4
1050,2,290,4
1050,2,275,4
1050,3,415,4
1050,3,360,4
1050,3,215,5
1050,3,290,4
1050,3,275,4
1060,1,415,2
1060,1,360,2
1060,1,215,3
1060,1,290,2.5
1060,1,275,2.5
1060,2,415,3
1060,2,360,3
1060,2,215,4
1060,2,290,4
1060,2,275,4
1060,3,415,4
1060,3,360,4
1060,3,215,5
1060,3,290,4
1060,3,275,4
1070,1,415,2
1070,1,360,2
1070,1,215,3
1070,1,290,2.5
1070,1,275,2.5
1070,2,415,3
1070,2,360,3
1070,2,215,4
1070,2,290,4
1070,2,275,4
1070,3,415,4
1070,3,360,4
1070,3,215,5
1070,3,290,4
1070,3,275,4
1080,1,415,2
1080,1,360,2
1080,1,215,3
1080,1,290,2.5
1080,1,275,2.5
1080,2,415,3
1080,2,360,3
1080,2,215,4
1080,2,290,4
1080,2,275,4
1080,3,415,4
1080,3,360,4
1080,3,215,5
1080,3,290,4
1080,3,275,4
1090,1,415,2
1090,1,360,2
1090,1,215,3
1090,1,290,2.5
1090,1,275,2.5
1090,2,415,3
1090,2,360,3
1090,2,215,4
1090,2,290,4
1090,2,275,4
1090,3,415,4
1090,3,360,4
1090,3,215,5
1090,3,290,4
1090,3,275,4
1100,1,415,2
1100,1,360,2
1100,1,215,3
1100,1,290,2.5
1100,1,275,2.5
1100,2,415,3
1100,2,360,3
1100,2,215,4
1100,2,290,4
1100,2,275,4
1100,3,415,4
1100,3,360,4
1100,3,215,5
1100,3,290,4
1100,3,275,4
1110,1,415,2
1110,1,360,2
1110,1,215,3
1110,1,290,2.5
1110,1,275,2.5
1110,2,415,3
1110,2,360,3
1110,2,215,4
1110,2,290,4
1110,2,275,4
1110,3,415,4
1110,3,360,4
1110,3,215,5
1110,3,290,4
1110,3,275,4
1120,1,415,2
1120,1,360,2
1120,1,215,3
1120,1,290,2.5
1120,1,275,2.5
1120,2,415,3
1120,2,360,3
1120,2,215,4
1120,2,290,4
1120,2,275,4
1120,3,415,4
1120,3,360,4
1120,3,215,5
1120,3,290,4
1120,3,275,4
1130,1,415,2
1130,1,360,2
1130,1,215,3
1130,1,290,2.5
1130,1,275,2.5
1130,2,415,3
1130,2,360,3
