F,FoS,Sy,d
210,0.9,940,2
210,0.9,1100,2
210,1,450,2
210,1,600,2
210,1,650,2
210,1,940,2
210,1,1100,2
210,2,450,2
210,2,600,2
210,2,650,2
210,2,940,2
210,2,1100,2
210,3,450,2
210,3,600,2
210,3,650,2
210,3,940,2
210,3,1100,2
220,0.1,450,2
220,0.1,600,2
220,0.1,650,2
220,0.1,940,2
220,0.1,1100,2
220,0.5,450,2
220,0.5,600,2
220,0.5,650,2
220,0.5,940,2
220,0.5,1100,2
220,0.9,450,2
220,0.9,600,2
220,0.9,650,2
220,0.9,940,2
220,0.9,1100,2
220,1,450,2
220,1,600,2
220,1,650,2
220,1,940,2
220,1,1100,2
220,2,450,2
220,2,600,2
220,2,650,2
220,2,940,2
220,2,1100,2
220,3,450,2
220,3,600,2
220,3,650,2
220,3,940,2
220,3,1100,2
230,0.1,450,2
230,0.1,600,2
230,0.1,650,2
230,0.1,940,2
230,0.1,1100,2
230,0.5,450,2
230,0.5,600,2
230,0.5,650,2
230,0.5,940,2
230,0.5,1100,2
230,0.9,450,2
230,0.9,600,2
230,0.9,650,2
230,0.9,940,2
230,0.9,1100,2
230,1,450,2
230,1,600,2
230,1,650,2
230,1,940,2
230,1,1100,2
230,2,450,2
230,2,600,2
230,2,650,2
230,2,940,2
230,2,1100,2
230,3,450,2
230,3,600,2
230,3,650,2
230,3,940,2
230,3,1100,2
240,0.1,450,2
240,0.1,600,2
240,0.1,650,2
240,0.1,940,2
240,0.1,1100,2
240,0.5,450,2
240,0.5,600,2
240,0.5,650,2
240,0.5,940,2
240,0.5,1100,2
240,0.9,450,2
240,0.9,600,2
240,0.9,650,2
240,0.9,940,2
240,0.9,1100,2
240,1,450,2
240,1,600,2
240,1,650,2
240,1,940,2
240,1,1100,2
240,2,450,2
240,2,600,2
240,2,650,2
240,2,940,2
240,2,1100,2
240,3,450,2.5
240,3,600,2
240,3,650,2
240,3,940,2
240,3,1100,2
250,0.1,450,2
250,0.1,600,2
250,0.1,650,2
250,0.1,940,2
250,0.1,1100,2
250,0.5,450,2
250,0.5,600,2
250,0.5,650,2
250,0.5,940,2
250,0.5,1100,2
250,0.9,450,2
250,0.9,600,2
250,0.9,650,2
250,0.9,940,2
250,0.9,1100,2
250,1,450,2
250,1,600,2
250,1,650,2
250,1,940,2
250,1,1100,2
250,2,450,2
250,2,600,2
250,2,650,2
250,2,940,2
250,2,1100,2
250,3,450,2.5
250,3,600,2
250,3,650,2
250,3,940,2
250,3,1100,2
260,0.1,450,2
260,0.1,600,2
260,0.1,650,2
260,0.1,940,2
260,0.1,1100,2
260,0.5,450,2
260,0.5,600,2
260,0.5,650,2
260,0.5,940,2
260,0.5,1100,2
260,0.9,450,2
260,0.9,600,2
260,0.9,650,2
260,0.9,940,2
260,0.9,1100,2
260,1,450,2
260,1,600,2
260,1,650,2
260,1,940,2
260,1,1100,2
260,2,450,2
260,2,600,2
260,2,650,2
260,2,940,2
260,2,1100,2
260,3,450,2.5
260,3,600,2
260,3,650,2
260,3,940,2
260,3,1100,2
270,0.1,450,2
270,0.1,600,2
270,0.1,650,2
270,0.1,940,2
270,0.1,1100,2
270,0.5,450,2
270,0.5,600,2
270,0.5,650,2
270,0.5,940,2
270,0.5,1100,2
270,0.9,450,2
270,0.9,600,2
270,0.9,650,2
270,0.9,940,2
270,0.9,1100,2
270,1,450,2
270,1,600,2
270,1,650,2
270,1,940,2
270,1,1100,2
270,2,450,2
270,2,600,2
270,2,650,2
270,2,940,2
270,2,1100,2
270,3,450,2.5
270,3,600,2
270,3,650,2
270,3,940,2
270,3,1100,2
280,0.1,450,2
280,0.1,600,2
280,0.1,650,2
280,0.1,940,2
280,0.1,1100,2
280,0.5,450,2
280,0.5,600,2
280,0.5,650,2
280,0.5,940,2
280,0.5,1100,2
280,0.9,450,2
280,0.9,600,2
280,0.9,650,2
280,0.9,940,2
280,0.9,1100,2
280,1,450,2
280,1,600,2
280,1,650,2
280,1,940,2
280,1,1100,2
280,2,450,2
280,2,600,2
280,2,650,2
280,2,940,2
280,2,1100,2
280,3,450,2.5
280,3,600,2
280,3,650,2
280,3,940,2
280,3,1100,2
290,0.1,450,2
290,0.1,600,2
290,0.1,650,2
290,0.1,940,2
290,0.1,1100,2
290,0.5,450,2
290,0.5,600,2
290,0.5,650,2
290,0.5,940,2
290,0.5,1100,2
290,0.9,450,2
290,0.9,600,2
290,0.9,650,2
290,0.9,940,2
290,0.9,1100,2
290,1,450,2
290,1,600,2
290,1,650,2
290,1,940,2
290,1,1100,2
290,2,450,2
290,2,600,2
290,2,650,2
290,2,940,2
290,2,1100,2
290,3,450,2.5
290,3,600,2
290,3,650,2
290,3,940,2
290,3,1100,2
300,0.1,450,2
300,0.1,600,2
300,0.1,650,2
300,0.1,940,2
300,0.1,1100,2
300,0.5,450,2
300,0.5,600,2
300,0.5,650,2
300,0.5,940,2
300,0.5,1100,2
300,0.9,450,2
300,0.9,600,2
300,0.9,650,2
300,0.9,940,2
300,0.9,1100,2
300,1,450,2
300,1,600,2
300,1,650,2
300,1,940,2
300,1,1100,2
300,2,450,2
300,2,600,2
300,2,650,2
300,2,940,2
300,2,1100,2
300,3,450,2.5
300,3,600,2
300,3,650,2
300,3,940,2
300,3,1100,2
310,0.1,450,2
310,0.1,600,2
310,0.1,650,2
310,0.1,940,2
310,0.1,1100,2
310,0.5,450,2
310,0.5,600,2
310,0.5,650,2
310,0.5,940,2
310,0.5,1100,2
310,0.9,450,2
310,0.9,600,2
310,0.9,650,2
310,0.9,940,2
310,0.9,1100,2
310,1,450,2
310,1,600,2
310,1,650,2
310,1,940,2
310,1,1100,2
310,2,450,2
310,2,600,2
310,2,650,2
310,2,940,2
310,2,1100,2
310,3,450,2.5
310,3,600,2
310,3,650,2
310,3,940,2
310,3,1100,2
320,0.1,450,2
320,0.1,600,2
320,0.1,650,2
320,0.1,940,2
320,0.1,1100,2
320,0.5,450,2
320,0.5,600,2
320,0.5,650,2
320,0.5,940,2
320,0.5,1100,2
320,0.9,450,2
320,0.9,600,2
320,0.9,650,2
320,0.9,940,2
320,0.9,1100,2
320,1,450,2
320,1,600,2
320,1,650,2
320,1,940,2
320,1,1100,2
320,2,450,2
320,2,600,2
320,2,650,2
320,2,940,2
320,2,1100,2
320,3,450,2.5
320,3,600,2.5
320,3,650,2
320,3,940,2
320,3,1100,2
330,0.1,450,2
330,0.1,600,2
330,0.1,650,2
330,0.1,940,2
330,0.1,1100,2
330,0.5,450,2
330,0.5,600,2
330,0.5,650,2
330,0.5,940,2
330,0.5,1100,2
330,0.9,450,2
330,0.9,600,2
330,0.9,650,2
330,0.9,940,2
330,0.9,1100,2
330,1,450,2
330,1,600,2
330,1,650,2
330,1,940,2
330,1,1100,2
330,2,450,2
330,2,600,2
330,2,650,2
330,2,940,2
330,2,1100,2
330,3,450,2.5
330,3,600,2.5
330,3,650,2
330,3,940,2
330,3,1100,2
340,0.1,450,2
340,0.1,600,2
340,0.1,650,2
340,0.1,940,2
340,0.1,1100,2
340,0.5,450,2
340,0.5,600,2
340,0.5,650,2
340,0.5,940,2
340,0.5,1100,2
340,0.9,450,2
340,0.9,600,2
340,0.9,650,2
340,0.9,940,2
340,0.9,1100,2
340,1,450,2
340,1,600,2
340,1,650,2
340,1,940,2
340,1,1100,2
340,2,450,2
340,2,600,2
340,2,650,2
340,2,940,2
340,2,1100,2
340,3,450,2.5
340,3,600,2.5
340,3,650,2
340,3,940,2
340,3,1100,2
350,0.1,450,2
350,0.1,600,2
350,0.1,650,2
350,0.1,940,2
350,0.1,1100,2
350,0.5,450,2
350,0.5,600,2
350,0.5,650,2
350,0.5,940,2
350,0.5,1100,2
350,0.9,450,2
350,0.9,600,2
350,0.9,650,2
350,0.9,940,2
350,0.9,1100,2
350,1,450,2
350,1,600,2
350,1,650,2
350,1,940,2
350,1,1100,2
350,2,450,2
350,2,600,2
350,2,650,2
350,2,940,2
350,2,1100,2
350,3,450,2.5
350,3,600,2.5
350,3,650,2.5
350,3,940,2
350,3,1100,2
360,0.1,450,2
360,0.1,600,2
360,0.1,650,2
360,0.1,940,2
360,0.1,1100,2
360,0.5,450,2
360,0.5,600,2
360,0.5,650,2
360,0.5,940,2
360,0.5,1100,2
360,0.9,450,2
360,0.9,600,2
360,0.9,650,2
360,0.9,940,2
360,0.9,1100,2
360,1,450,2
360,1,600,2
360,1,650,2
360,1,940,2
360,1,1100,2
360,2,450,2.5
360,2,600,2
360,2,650,2
360,2,940,2
360,2,1100,2
360,3,450,2.5
360,3,600,2.5
360,3,650,2.5
360,3,940,2
360,3,1100,2
370,0.1,450,2
370,0.1,600,2
370,0.1,650,2
370,0.1,940,2
370,0.1,1100,2
370,0.5,450,2
370,0.5,600,2
370,0.5,650,2
370,0.5,940,2
370,0.5,1100,2
370,0.9,450,2
370,0.9,600,2
370,0.9,650,2
370,0.9,940,2
370,0.9,1100,2
370,1,450,2
370,1,600,2
370,1,650,2
370,1,940,2
370,1,1100,2
370,2,450,2.5
370,2,600,2
370,2,650,2
370,2,940,2
370,2,1100,2
370,3,450,3
370,3,600,2.5
370,3,650,2.5
370,3,940,2
370,3,1100,2
380,0.1,450,2
380,0.1,600,2
380,0.1,650,2
380,0.1,940,2
380,0.1,1100,2
380,0.5,450,2
380,0.5,600,2
380,0.5,650,2
380,0.5,940,2
380,0.5,1100,2
380,0.9,450,2
380,0.9,600,2
380,0.9,650,2
380,0.9,940,2
380,0.9,1100,2
380,1,450,2
380,1,600,2
380,1,650,2
380,1,940,2
380,1,1100,2
380,2,450,2.5
380,2,600,2
380,2,650,2
380,2,940,2
380,2,1100,2
380,3,450,3
380,3,600,2.5
380,3,650,2.5
380,3,940,2
380,3,1100,2
390,0.1,450,2
390,0.1,600,2
390,0.1,650,2
390,0.1,940,2
390,0.1,1100,2
390,0.5,450,2
390,0.5,600,2
390,0.5,650,2
390,0.5,940,2
390,0.5,1100,2
390,0.9,450,2
390,0.9,600,2
390,0.9,650,2
390,0.9,940,2
390,0.9,1100,2
390,1,450,2
390,1,600,2
390,1,650,2
390,1,940,2
390,1,1100,2
390,2,450,2.5
390,2,600,2
390,2,650,2
390,2,940,2
390,2,1100,2
390,3,450,3
390,3,600,2.5
390,3,650,2.5
390,3,940,2
390,3,1100,2
400,0.1,450,2
400,0.1,600,2
400,0.1,650,2
400,0.1,940,2
400,0.1,1100,2
400,0.5,450,2
400,0.5,600,2
400,0.5,650,2
400,0.5,940,2
400,0.5,1100,2
400,0.9,450,2
400,0.9,600,2
400,0.9,650,2
400,0.9,940,2
400,0.9,1100,2
400,1,450,2
400,1,600,2
400,1,650,2
400,1,940,2
400,1,1100,2
400,2,450,2.5
400,2,600,2
400,2,650,2
400,2,940,2
400,2,1100,2
400,3,450,3
400,3,600,2.5
400,3,650,2.5
400,3,940,2
400,3,1100,2
410,0.1,450,2
410,0.1,600,2
410,0.1,650,2
410,0.1,940,2
410,0.1,1100,2
410,0.5,450,2
410,0.5,600,2
410,0.5,650,2
410,0.5,940,2
410,0.5,1100,2
410,0.9,450,2
410,0.9,600,2
410,0.9,650,2
410,0.9,940,2
410,0.9,1100,2
410,1,450,2
410,1,600,2
410,1,650,2
410,1,940,2
410,1,1100,2
410,2,450,2.5
410,2,600,2
410,2,650,2
410,2,940,2
410,2,1100,2
410,3,450,3
410,3,600,2.5
410,3,650,2.5
410,3,940,2
410,3,1100,2
420,0.1,450,2
420,0.1,600,2
420,0.1,650,2
420,0.1,940,2
420,0.1,1100,2
420,0.5,450,2
420,0.5,600,2
420,0.5,650,2
420,0.5,940,2
420,0.5,1100,2
420,0.9,450,2
420,0.9,600,2
420,0.9,650,2
420,0.9,940,2
420,0.9,1100,2
420,1,450,2
420,1,600,2
420,1,650,2
420,1,940,2
420,1,1100,2
420,2,450,2.5
420,2,600,2
420,2,650,2
420,2,940,2
420,2,1100,2
420,3,450,3
420,3,600,2.5
420,3,650,2.5
420,3,940,2
420,3,1100,2
430,0.1,450,2
430,0.1,600,2
430,0.1,650,2
430,0.1,940,2
430,0.1,1100,2
430,0.5,450,2
430,0.5,600,2
430,0.5,650,2
430,0.5,940,2
430,0.5,1100,2
430,0.9,450,2
430,0.9,600,2
430,0.9,650,2
430,0.9,940,2
430,0.9,1100,2
430,1,450,2
430,1,600,2
430,1,650,2
430,1,940,2
430,1,1100,2
430,2,450,2.5
430,2,600,2
430,2,650,2
430,2,940,2
430,2,1100,2
430,3,450,3
430,3,600,2.5
430,3,650,2.5
430,3,940,2
430,3,1100,2
440,0.1,450,2
440,0.1,600,2
440,0.1,650,2
440,0.1,940,2
440,0.1,1100,2
440,0.5,450,2
440,0.5,600,2
440,0.5,650,2
440,0.5,940,2
440,0.5,1100,2
440,0.9,450,2
440,0.9,600,2
440,0.9,650,2
440,0.9,940,2
440,0.9,1100,2
440,1,450,2
440,1,600,2
440,1,650,2
440,1,940,2
440,1,1100,2
440,2,450,2.5
440,2,600,2
440,2,650,2
440,2,940,2
440,2,1100,2
440,3,450,3
440,3,600,2.5
440,3,650,2.5
440,3,940,2
440,3,1100,2
450,0.1,450,2
450,0.1,600,2
450,0.1,650,2
450,0.1,940,2
450,0.1,1100,2
450,0.5,450,2
450,0.5,600,2
450,0.5,650,2
450,0.5,940,2
450,0.5,1100,2
450,0.9,450,2
450,0.9,600,2
450,0.9,650,2
450,0.9,940,2
450,0.9,1100,2
450,1,450,2
450,1,600,2
450,1,650,2
450,1,940,2
450,1,1100,2
450,2,450,2.5
450,2,600,2
450,2,650,2
450,2,940,2
450,2,1100,2
450,3,450,3
450,3,600,2.5
450,3,650,2.5
450,3,940,2
450,3,1100,2
460,0.1,450,2
460,0.1,600,2
460,0.1,650,2
460,0.1,940,2
460,0.1,1100,2
460,0.5,450,2
460,0.5,600,2
460,0.5,650,2
460,0.5,940,2
460,0.5,1100,2
460,0.9,450,2
460,0.9,600,2
460,0.9,650,2
460,0.9,940,2
460,0.9,1100,2
460,1,450,2
460,1,600,2
460,1,650,2
460,1,940,2
460,1,1100,2
460,2,450,2.5
460,2,600,2
460,2,650,2
460,2,940,2
460,2,1100,2
460,3,450,3
460,3,600,2.5
460,3,650,2.5
460,3,940,2
460,3,1100,2
470,0.1,450,2
470,0.1,600,2
470,0.1,650,2
470,0.1,940,2
470,0.1,1100,2
470,0.5,450,2
470,0.5,600,2
470,0.5,650,2
470,0.5,940,2
470,0.5,1100,2
470,0.9,450,2
470,0.9,600,2
470,0.9,650,2
470,0.9,940,2
470,0.9,1100,2
470,1,450,2
470,1,600,2
470,1,650,2
470,1,940,2
470,1,1100,2
470,2,450,2.5
470,2,600,2
470,2,650,2
470,2,940,2
470,2,1100,2
470,3,450,3
470,3,600,2.5
470,3,650,2.5
470,3,940,2
470,3,1100,2
480,0.1,450,2
480,0.1,600,2
480,0.1,650,2
480,0.1,940,2
480,0.1,1100,2
480,0.5,450,2
480,0.5,600,2
480,0.5,650,2
480,0.5,940,2
480,0.5,1100,2
480,0.9,450,2
480,0.9,600,2
480,0.9,650,2
480,0.9,940,2
480,0.9,1100,2
480,1,450,2
480,1,600,2
480,1,650,2
480,1,940,2
480,1,1100,2
480,2,450,2.5
480,2,600,2.5
480,2,650,2
480,2,940,2
480,2,1100,2
480,3,450,3
480,3,600,2.5
480,3,650,2.5
480,3,940,2
480,3,1100,2
490,0.1,450,2
490,0.1,600,2
490,0.1,650,2
490,0.1,940,2
490,0.1,1100,2
490,0.5,450,2
490,0.5,600,2
490,0.5,650,2
490,0.5,940,2
490,0.5,1100,2
490,0.9,450,2
490,0.9,600,2
490,0.9,650,2
490,0.9,940,2
490,0.9,1100,2
490,1,450,2
490,1,600,2
490,1,650,2
490,1,940,2
490,1,1100,2
490,2,450,2.5
490,2,600,2.5
490,2,650,2
490,2,940,2
490,2,1100,2
490,3,450,3
490,3,600,2.5
490,3,650,2.5
490,3,940,2
490,3,1100,2
500,0.1,450,2
500,0.1,600,2
500,0.1,650,2
500,0.1,940,2
500,0.1,1100,2
500,0.5,450,2
500,0.5,600,2
500,0.5,650,2
500,0.5,940,2
500,0.5,1100,2
500,0.9,450,2
500,0.9,600,2
500,0.9,650,2
500,0.9,940,2
500,0.9,1100,2
500,1,450,2
500,1,600,2
500,1,650,2
500,1,940,2
500,1,1100,2
500,2,450,2.5
500,2,600,2.5
500,2,650,2
500,2,940,2
500,2,1100,2
500,3,450,3
500,3,600,3
500,3,650,2.5
500,3,940,2.5
500,3,1100,2
510,0.1,450,2
510,0.1,600,2
510,0.1,650,2
510,0.1,940,2
510,0.1,1100,2
510,0.5,450,2
510,0.5,600,2
510,0.5,650,2
510,0.5,940,2
510,0.5,1100,2
510,0.9,450,2
510,0.9,600,2
510,0.9,650,2
510,0.9,940,2
510,0.9,1100,2
510,1,450,2
510,1,600,2
510,1,650,2
510,1,940,2
510,1,1100,2
510,2,450,2.5
510,2,600,2.5
510,2,650,2
510,2,940,2
510,2,1100,2
510,3,450,3
510,3,600,3
510,3,650,2.5
510,3,940,2.5
510,3,1100,2
520,0.1,450,2
520,0.1,600,2
520,0.1,650,2
520,0.1,940,2
520,0.1,1100,2
520,0.5,450,2
520,0.5,600,2
520,0.5,650,2
520,0.5,940,2
520,0.5,1100,2
520,0.9,450,2
520,0.9,600,2
520,0.9,650,2
520,0.9,940,2
520,0.9,1100,2
520,1,450,2
520,1,600,2
520,1,650,2
520,1,940,2
520,1,1100,2
520,2,450,2.5
520,2,600,2.5
520,2,650,2.5
520,2,940,2
520,2,1100,2
520,3,450,3
520,3,600,3
520,3,650,2.5
520,3,940,2.5
520,3,1100,2
530,0.1,450,2
530,0.1,600,2
530,0.1,650,2
530,0.1,940,2
530,0.1,1100,2
530,0.5,450,2
530,0.5,600,2
530,0.5,650,2
530,0.5,940,2
530,0.5,1100,2
530,0.9,450,2
530,0.9,600,2
530,0.9,650,2
530,0.9,940,2
530,0.9,1100,2
530,1,450,2
530,1,600,2
530,1,650,2
530,1,940,2
530,1,1100,2
530,2,450,2.5
530,2,600,2.5
530,2,650,2.5
530,2,940,2
530,2,1100,2
530,3,450,3
530,3,600,3
530,3,650,2.5
530,3,940,2.5
530,3,1100,2
540,0.1,450,2
540,0.1,600,2
540,0.1,650,2
540,0.1,940,2
540,0.1,1100,2
540,0.5,450,2
540,0.5,600,2
540,0.5,650,2
540,0.5,940,2
540,0.5,1100,2
540,0.9,450,2
540,0.9,600,2
540,0.9,650,2
540,0.9,940,2
540,0.9,1100,2
540,1,450,2
540,1,600,2
540,1,650,2
540,1,940,2
540,1,1100,2
540,2,450,2.5
540,2,600,2.5
540,2,650,2.5
540,2,940,2
540,2,1100,2
540,3,450,3.5
540,3,600,3
540,3,650,3
540,3,940,2.5
540,3,1100,2
550,0.1,450,2
550,0.1,600,2
550,0.1,650,2
550,0.1,940,2
550,0.1,1100,2
550,0.5,450,2
550,0.5,600,2
550,0.5,650,2
550,0.5,940,2
550,0.5,1100,2
550,0.9,450,2
550,0.9,600,2
550,0.9,650,2
550,0.9,940,2
550,0.9,1100,2
550,1,450,2
550,1,600,2
550,1,650,2
550,1,940,2
550,1,1100,2
550,2,450,2.5
550,2,600,2.5
550,2,650,2.5
550,2,940,2
550,2,1100,2
550,3,450,3.5
550,3,600,3
550,3,650,3
550,3,940,2.5
550,3,1100,2
560,0.1,450,2
560,0.1,600,2
560,0.1,650,2
560,0.1,940,2
560,0.1,1100,2
560,0.5,450,2
560,0.5,600,2
560,0.5,650,2
560,0.5,940,2
560,0.5,1100,2
560,0.9,450,2
560,0.9,600,2
560,0.9,650,2
560,0.9,940,2
560,0.9,1100,2
560,1,450,2
560,1,600,2
560,1,650,2
560,1,940,2
560,1,1100,2
560,2,450,3
560,2,600,2.5
560,2,650,2.5
560,2,940,2
560,2,1100,2
560,3,450,3.5
560,3,600,3
560,3,650,3
560,3,940,2.5
560,3,1100,2
570,0.1,450,2
570,0.1,600,2
570,0.1,650,2
570,0.1,940,2
570,0.1,1100,2
570,0.5,450,2
570,0.5,600,2
570,0.5,650,2
570,0.5,940,2
570,0.5,1100,2
570,0.9,450,2
570,0.9,600,2
570,0.9,650,2
570,0.9,940,2
570,0.9,1100,2
570,1,450,2
570,1,600,2
570,1,650,2
570,1,940,2
570,1,1100,2
570,2,450,3
570,2,600,2.5
570,2,650,2.5
570,2,940,2
570,2,1100,2
570,3,450,3.5
570,3,600,3
570,3,650,3
570,3,940,2.5
570,3,1100,2
580,0.1,450,2
580,0.1,600,2
580,0.1,650,2
580,0.1,940,2
580,0.1,1100,2
580,0.5,450,2
580,0.5,600,2
580,0.5,650,2
580,0.5,940,2
580,0.5,1100,2
580,0.9,450,2
580,0.9,600,2
580,0.9,650,2
580,0.9,940,2
580,0.9,1100,2
580,1,450,2
580,1,600,2
580,1,650,2
580,1,940,2
580,1,1100,2
580,2,450,3
580,2,600,2.5
580,2,650,2.5
580,2,940,2
580,2,1100,2
580,3,450,3.5
580,3,600,3
580,3,650,3
580,3,940,2.5
580,3,1100,2.5
590,0.1,450,2
590,0.1,600,2
590,0.1,650,2
590,0.1,940,2
590,0.1,1100,2
590,0.5,450,2
590,0.5,600,2
590,0.5,650,2
590,0.5,940,2
590,0.5,1100,2
590,0.9,450,2
590,0.9,600,2
590,0.9,650,2
590,0.9,940,2
590,0.9,1100,2
590,1,450,2
590,1,600,2
590,1,650,2
590,1,940,2
590,1,1100,2
590,2,450,3
590,2,600,2.5
590,2,650,2.5
590,2,940,2
590,2,1100,2
